a      l_a  b      l_b  c       N
18392  -24  26508  -25  508086  1000 
18308  -24  17970  -14  508633  1000 
18208  -24  17933  -13  510275  1000 
18040  -24  26819  -13  513005  1000 
17816  -24  17818  -12  516816  1000 
17533  -24  22166  -12  521695  1000 
17192  -24  26448  -12  527629  1000 
16792  -24  30647  -12  534597  1000 
32664  -25  17372  -11  542578  1000 
31624  -25  19367  -11  551547  1000 
30462  -25  21297  -11  561473  1000 
29181  -25  23157  -11  572325  1000 
27781  -25  24939  -11  584066  1000 
26265  -25  26634  -11  596656  1000 
24638  -25  28238  -11  610052  1000 
22905  -25  29742  -11  624206  1000 
21074  -25  31140  -11  639069  1000 
19154  -25  32427  -11  654587  1000 
17144  -25  16798  -10  670705  1000 
30227  -26  17321  -10  687364  1000 
-30016  -26  17776  -10  704503  1000 
-29648  -26  17318  -10  721639  1000 
-29267  -26  16866  -10  738329  1000 
-28838  -26  16419  -10  754581  1000 
-28376  -26  31957  -11  770400  1000 
-27884  -26  31092  -11  785793  1000 
-27366  -26  30240  -11  800766  1000 
-26828  -26  29404  -11  815328  1000 
-26271  -26  28586  -11  829486  1000 
-25700  -26  27785  -11  843248  1000 
-25119  -26  27001  -11  856624  1000 
-24529  -26  26234  -11  869620  1000 
-23933  -26  25486  -11  882247  1000 
-23334  -26  24755  -11  894512  1000 
-22735  -26  24044  -11  906426  1000 
-22136  -26  23349  -11  917996  1000 
-21541  -26  22674  -11  929231  1000 
-20950  -26  22017  -11  940142  1000 
-20365  -26  21378  -11  950736  1000 
-19786  -26  20756  -11  961022  1000 
-19216  -26  20152  -11  971008  1000 
-18655  -26  19566  -11  980705  1000 
-18104  -26  18996  -11  990119  1000 
-17563  -26  18443  -11  999259  1000 
-17033  -26  17908  -11  1008134  1000 
-16515  -26  17388  -11  1016750  1000 
-32017  -27  16884  -11  1025117  1000 
-31029  -27  16396  -11  1033242  1000 
-30065  -27  31843  -12  1041131  1000 
-29126  -27  30925  -12  1048793  1000 
-28212  -27  30039  -12  1056235  1000 
-27323  -27  29178  -12  1063463  1000 
-26459  -27  28345  -12  1070484  1000 
-25619  -27  27536  -12  1077305  1000 
-24805  -27  26753  -12  1083931  1000 
-24015  -27  25996  -12  1090370  1000 
-23248  -27  25263  -12  1096627  1000 
-22506  -27  24553  -12  1102708  1000 
-21786  -27  23869  -12  1108619  1000 
-21089  -27  23203  -12  1114364  1000 
-20415  -27  22558  -12  1119950  1000 
-19762  -27  21936  -12  1125381  1000 
-19130  -27  21335  -12  1130663  1000 
-18520  -27  20751  -12  1135800  1000 
-17929  -27  20183  -12  1140796  1000 
